userId,movieId,rating,timestamp
1,1,4.0,1225734739
1,110,4.0,1225865086
1,158,4.0,1225733503
1,260,4.5,1225735204
1,356,5.0,1225735119
1,381,3.5,1225734105
1,596,4.0,1225733524
1,1036,5.0,1225735626
1,1049,3.0,1225734079
1,1066,4.0,1225736961
1,1196,3.5,1225735441
1,1200,3.5,1225735861
1,1210,4.5,1225735210
1,1214,4.0,1225736426
1,1291,5.0,1225734809
1,1293,2.0,1225733842
1,1376,3.0,1225733539
1,1396,3.0,1225733534
1,1537,4.0,1225736687
1,1909,3.0,1225733717
1,1959,4.0,1225734190
1,1960,4.0,1225733965
1,2028,5.0,1225735007
1,2085,3.5,1225733974
1,2116,4.0,1225734179
1,2336,3.5,1225733831
1,2571,2.5,1225736197
1,2671,4.0,1225737459
1,2762,5.0,1225735017
1,2804,3.0,1225735064
1,2908,4.0,1225735872
1,3363,3.0,1225733955
1,3578,5.0,1225735309
1,4246,4.0,1225737285
1,4306,4.0,1225735196
1,4699,3.5,1225737315
1,4886,5.0,1225734829
1,4896,4.0,1225733516
1,4993,4.0,1225735139
1,4995,5.0,1225734583
1,5952,4.5,1225735159
1,6539,4.0,1225735722
1,7064,3.5,1225736442
1,7122,4.0,1225736170
1,7139,3.0,1225734788
1,7153,5.0,1225735149
1,7162,4.0,1225737335
1,7366,3.5,1225737488
1,7706,3.5,1225735053
1,8132,5.0,1225865124
1,8533,5.0,1225737239
1,8644,3.5,1225733991
1,8961,4.5,1225735323
1,8969,4.0,1225737287
1,8981,3.5,1225737399
1,33166,5.0,1225735916
1,33794,3.0,1225735255
1,40629,4.5,1225735185
1,49647,5.0,1225737159
1,52458,5.0,1225737189
1,53996,5.0,1225737626
1,54259,4.0,1225735023
2,1,5.0,835815971
2,2,3.0,835816347
2,6,4.0,835817045
2,10,3.0,835815916
2,11,3.0,835816307
2,17,5.0,835816501
2,19,3.0,835816017
2,21,5.0,835816017
2,25,3.0,835816801
2,31,3.0,835816801
2,34,5.0,835816017
2,36,5.0,835817044
2,39,3.0,835816126
2,47,5.0,835816017
2,48,2.0,835816766
2,50,4.0,835816067
2,52,3.0,835817045
2,58,3.0,835817045
2,95,2.0,835816548
2,110,5.0,835815969
2,111,3.0,835816193
2,141,5.0,835816548
2,150,5.0,835815553
2,151,5.0,835816347
2,153,3.0,835815677
2,158,3.0,835816585
2,160,1.0,835816124
2,161,3.0,835815837
2,165,4.0,835815675
2,168,3.0,835816585
2,172,2.0,835816548
2,173,2.0,835816246
2,185,3.0,835815916
2,186,3.0,835816347
2,204,3.0,835816501
2,208,3.0,835815916
2,224,3.0,835816801
2,225,3.0,835816017
